predicate_lemma	sense_id	pos	sense_particle	role_type	roleset_desc	role_desc	function_tag	vn_theta
absurd	_	j	01	A1	foolish, ridiculous	thing that is absurd (may require concatenation- see exs)	PAG	_
abundant	_	j	01	A1	plentiful	plentiful commodity	PPT	_
abundant	_	j	01	A2	plentiful	location with plenty of arg1	LOC	_
abuse	_	n	01	A0	mistreat a person or animal, often repeatedly, with violence or with cruelty	abuser, agent	PAG	AGENT
abuse	_	n	02	A0	use (something) to bad effect or for a bad purpose; misuse	user	PAG	_
abuse	_	n	03	A0	use offending language	abuser, agent	PAG	AGENT
abuse	_	n	01	A1	mistreat a person or animal, often repeatedly, with violence or with cruelty	entity abused	PPT	THEME
abuse	_	n	02	A1	use (something) to bad effect or for a bad purpose; misuse	thing misused	PPT	_
abuse	_	n	03	A1	use offending language	entity insulted	PPT	THEME
abuse	_	n	03	A2	use offending language	explicit mention of utterance or insult	MNR	_
abut	_	v	01	A1	be one the edge of	abutter	PPT	THEME
abut	_	v	01	A2	be one the edge of	abutted	PPT	CO-THEME
abysmal	_	j	01	A1	generally terrible, in the absolute lowest ranges	generally terrible entity	PAG	_
abysmal	_	j	02	A1	be extremely unskilled at	unskilled entity	PAG	_
abysmal	_	j	01	A2	generally terrible, in the absolute lowest ranges	value	PPT	_
abysmal	_	j	02	A2	be extremely unskilled at	non-skill	PPT	_
accede	_	v	01	A0	agree, adhere	acceder, agent	PAG	AGENT
accede	_	v	01	A1	agree, adhere	entity acceded to	COM	CO-AGENT
accelerate	_	v	01	A0	make be faster, the act of speeding up	agent, causing acceleration	PAG	AGENT
accelerate	_	v	01	A1	make be faster, the act of speeding up	thing accelerating	PPT	PATIENT
accelerate	_	v	01	A2	make be faster, the act of speeding up	EXT	EXT	_
accelerate	_	v	01	A3	make be faster, the act of speeding up	start point	DIR	_
accelerate	_	v	01	A4	make be faster, the act of speeding up	end point	GOL	_
accent	_	v	01	A0	to bring out certain features	decorator	PAG	_
accent	_	v	01	A1	to bring out certain features	thing decorated	GOL	_
accent	_	v	01	A2	to bring out certain features	decorations	PPT	_
accentuate	_	v	01	A0	mark or emphasize	agent	PAG	_
accentuate	_	v	01	A1	mark or emphasize	thing accentuated	PPT	_
accentuate	_	v	01	A2	mark or emphasize	instrument	MNR	_
accept	_	v	01	A0	take willingly	acceptor	PAG	AGENT
accept	_	v	01	A1	take willingly	thing accepted	PPT	THEME
accept	_	v	01	A2	take willingly	accepted-from	DIR	SOURCE
accept	_	v	01	A3	take willingly	attribute	PRD	ATTRIBUTE
acceptable	_	j	02	A0	worthy of accepting	acceptor	PAG	_
acceptable	_	j	02	A1	worthy of accepting	thing accepted	PPT	_
acceptable	_	j	02	A2	worthy of accepting	accepted from	DIR	_
acceptable	_	j	02	A3	worthy of accepting	attribute	PRD	_
access	_	n	01	A0	access, gain entry	accessor	PAG	_
access	_	n	01	A1	access, gain entry	thing accessed	PPT	_
accessible	_	j	02	A0	able to be reached, attained	accessor	PAG	_
accessible	_	j	02	A1	able to be reached, attained	thing accessed	PPT	_
accession	_	v	01	A0	mathematics, mixing, add something to something else, increase	agent	PAG	_
accession	_	v	01	A1	mathematics, mixing, add something to something else, increase	supplement	PPT	_
accession	_	v	01	A2	mathematics, mixing, add something to something else, increase	original	PPT	_
accessorize	_	v	01	A0	furnish with accessories	agent, furnishing entity	PAG	_
accessorize	_	v	01	A1	furnish with accessories	entity furnished	PPT	_
accessorize	_	v	01	A2	furnish with accessories	furnished with what	VSP	_
accident	_	n	01	A0	screw-up, unplanned event that may or may not cause damage	causer of accident, entity who screws up	PAG	_
accident	_	n	01	A1	screw-up, unplanned event that may or may not cause damage	type of accident	VSP	_
acclaim	_	n	01	A0	approve of loudly	acclaimer	PAG	AGENT
acclaim	_	n	01	A1	approve of loudly	acclaimed	PPT	THEME
acclaim	_	n	01	A2	approve of loudly	cause, acclaimed for what?	CAU	_
acclimate	_	v	01	A0	(cause to) become used to	agent, cause of adjustment	PAG	_
acclimate	_	v	01	A1	(cause to) become used to	entity becoming accustomed	PPT	_
acclimate	_	v	01	A2	(cause to) become used to	to what; the new climate	GOL	_
acclimatize	_	v	01	A0	(cause to) become used to	agent, cause of adjustment	PAG	_
acclimatize	_	v	01	A1	(cause to) become used to	entity becoming accustomed	PPT	_
acclimatize	_	v	01	A2	(cause to) become used to	to what; the new climate	GOL	_
accommodate	_	n	01	A0	allow, be helpful	accommodater	PAG	AGENT
accommodate	_	n	01	A1	allow, be helpful	thing accommodated	PPT	PATIENT
accompany	_	v	01	A0	go along with	subject accompanier	PAG	AGENT
accompany	_	v	01	A1	go along with	object accompanied	PPT	THEME
accompany	_	v	01	A3	go along with	start point	DIR	_
accompany	_	v	01	A4	go along with	end point	GOL	DESTINATION
accomplish	_	v	01	A0	do, pull off	doer	PAG	AGENT
accomplish	_	v	01	A1	do, pull off	deed	PPT	THEME
accord	_	v	01	A0	to give	giver	PAG	_
accord	_	n	02	A0	follow a procedure; be in line with expectations or other facts	follower of procedure	PAG	_
accord	_	n	03	A0	create or agree to a pact	first party in agreement, both parties when mentioned together	PAG	_
accord	_	v	01	A1	to give	gift	PPT	_
accord	_	n	02	A1	follow a procedure; be in line with expectations or other facts	action done	PPT	_
accord	_	n	03	A1	create or agree to a pact	subject of promise, subject/topic pact involves	PPT	_
accord	_	v	01	A2	to give	given-to	GOL	_
accord	_	n	02	A2	follow a procedure; be in line with expectations or other facts	regulations, procedure, or expectations accorded with	COM	_
accord	_	n	03	A2	create or agree to a pact	second party in agreement	COM	_
account	_	n	01	A0	deal with, explain, give/tell report or explanation	accounter	PAG	_
account	_	n	01	A1	deal with, explain, give/tell report or explanation	thing accounted for, dealt with, explained	PPT	_
account	_	n	01	A2	deal with, explain, give/tell report or explanation	instrumental, accounted for with or by	MNR	_
accountable	_	j	02	A0	accountable	perpetrator, accountable person	PAG	_
accountable	_	j	02	A1	accountable	role or crime, accountable for what?	PPT	_
accountable	_	j	02	A2	accountable	judge	PAG	_
accounting	_	n	03	A0	managing finance	accountant (entity acting as)	PAG	_
accounting	_	n	03	A1	managing finance	money, accounts, etc. accounted for	PPT	_
accounting	_	n	03	A2	managing finance	account owner, if separate from arg0	PPT	_
accredit	_	v	01	A0	give credentials	entity furnishing credentials	PAG	_
accredit	_	v	01	A1	give credentials	entity credited	PPT	_
accredit	_	v	01	A2	give credentials	attribute	PRD	_
accrete	_	v	01	A0	accumulate, gain	accreting entity	PAG	_
accrete	_	v	01	A1	accumulate, gain	stuff gained	PPT	_
accrue	_	v	01	A0	accumulate, gather	agent, gatherer	PAG	AGENT
accrue	_	v	01	A1	accumulate, gather	thing gathered, accrued	PPT	THEME
accumulate	_	n	01	A0	amass	entity accumulating something	PAG	AGENT
accumulate	_	n	01	A1	amass	thing/stuff accumulated	PPT	THEME
accumulate	_	n	01	A3	amass	price	VSP	_
accurate	_	j	01	A0	precise	agent	PAG	_
accurate	_	j	01	A1	precise	thing that is exact	PPT	_
accurse	_	v	01	A0	to imprecate misery or evil upon	speaker	PAG	AGENT
accurse	_	v	01	A1	to imprecate misery or evil upon	misery or evil	PPT	_
accurse	_	v	01	A2	to imprecate misery or evil upon	person or thing accursed	PPT	THEME
accuse	_	n	01	A0	accuse of a crime	accuser	PAG	AGENT
accuse	_	n	01	A1	accuse of a crime	accused	PPT	THEME
accuse	_	n	01	A2	accuse of a crime	crime	PRD	ATTRIBUTE
accustom	_	v	01	A0	make used to	cause or agent	PAG	_
accustom	_	v	01	A1	make used to	thing getting used to something	PPT	_
accustom	_	v	01	A2	make used to	thing getting used to	GOL	_
ace	_	v	01	A0	do perfectly	acer	PAG	_
ace	_	v	01	A1	do perfectly	test	PPT	_
acetify	_	v	01	A0	(cause to) become acid	cause of transformation	PAG	AGENT
acetify	_	v	01	A1	(cause to) become acid	entity made into silica	PPT	PATIENT
acetify	_	v	01	A2	(cause to) become acid	instrument or manner if separate from arg 0	MNR	INSTRUMENT
acetylate	_	v	01	A0	introduce an acetyl group into a compound	agent of acetylation (e.g. scientist)	PAG	_
acetylate	_	v	01	A1	introduce an acetyl group into a compound	thing acetylated (material/source)	PPT	_
acetylate	_	v	01	A2	introduce an acetyl group into a compound	instrument	MNR	_
acetylate	_	v	01	A3	introduce an acetyl group into a compound	product of acetylation	PRD	_
ache	_	n	01	A0	to suffer a dull pain	body part aching	PPT	PATIENT
achieve	_	n	01	A0	achieve	achiever	PAG	AGENT
achieve	_	n	01	A1	achieve	thing achieved, gotten, accomplished	PPT	THEME
acidify	_	v	01	A0	make acidic	causer of acidity, agent	PAG	AGENT
acidify	_	v	01	A1	make acidic	thing now acidic	PPT	PATIENT
acknowledge	_	v	01	A0	admit	admitter, claimer, speaker	PAG	AGENT
acknowledge	_	v	01	A1	admit	proposition, claim, utterance	PPT	TOPIC
acknowledge	_	v	01	A2	admit	hearer	GOL	RECIPIENT
acknowledge	_	v	01	A3	admit	secondary predication, attribute of arg 1 acknowledged	PRD	ATTRIBUTE
acquaint	_	v	01	A0	know informally	rare agent	PAG	AGENT
acquaint	_	v	01	A1	know informally	knower	GOL	RECIPIENT
acquaint	_	v	01	A2	know informally	acquaintance	PPT	TOPIC
acquiesce	_	v	01	A0	comply passively	acquiescer, complier	PAG	AGENT
acquiesce	_	v	01	A1	comply passively	thing complied to, in, or with	COM	CO-AGENT
acquire	_	n	01	A0	get, acquire	agent, entity acquiring something	PAG	AGENT
acquire	_	n	01	A1	get, acquire	thing acquired	PPT	THEME
acquire	_	n	01	A2	get, acquire	seller	DIR	SOURCE
acquire	_	n	01	A3	get, acquire	price paid	VSP	_
acquire	_	n	01	A4	get, acquire	benefactive	GOL	_
acquit	_	n	01	A0	relieve of guilt	remover of guilt	CAU	CAUSE
acquit	_	n	01	A1	relieve of guilt	(un)guilty party	DIR	SOURCE
acquit	_	n	01	A2	relieve of guilt	explicit mention of guilt	PPT	THEME
act	_	v	01	A0	play a role; behave	player	PAG	AGENT
act	_	v	02	A0	do something, perform an action	actor	PAG	_
act	_	n	05	A0	thing done	doer	PAG	_
act	_	v	01	A1	play a role; behave	role	PRD	ATTRIBUTE
act	_	v	02	A1	do something, perform an action	grounds for action	PPT	_
act	_	n	05	A1	thing done	thing done	PPT	_
act	_	n	05	A2	thing done	type of act	VSP	_
act	out	v	03	A0	perform a role	actor, performer	PAG	_
act	out	v	03	A1	perform a role	role, scenario enacted	PPT	_
act	up	v	04	A0	cause trouble	trouble-maker	PAG	_
activate	_	n	01	A0	make active	activator	PAG	AGENT
activate	_	n	01	A1	make active	thing now active	PPT	PATIENT
activity	_	j	06	A0	participating in, live, in use	active entity	PAG	_
activity	_	j	06	A1	participating in, live, in use	activity engaged in	PPT	_
actual	_	j	02	A1	really real	actual thing	PAG	_
actual	_	j	02	A2	really real	what arg1 is an actual instantiation of	PPT	_
actualize	_	v	01	A0	make real or more real	agent	PAG	_
actualize	_	v	01	A1	make real or more real	thing actualized, theme	PPT	_
actuate	_	n	01	A0	put into action or motion	agent causing of actuation	PAG	_
actuate	_	n	01	A1	put into action or motion	entity set into action or motion	PPT	_
acute	_	j	01	A1	severe	acute illness	PPT	_
acute	_	j	01	A2	severe	patient	LOC	_
acyanotic	_	j	01	A1	not characterized by turning blue	thing not characterized by blueness	PAG	_
adamant	_	j	01	A0	unyieldingly insistent	entity who insists	PAG	_
adamant	_	j	01	A1	unyieldingly insistent	insisted upon	PPT	_
adapt	_	v	01	A0	make (more) suitable, becoming or making more accustomed or suitable, cause to fit	agent, adaptor	PAG	AGENT
adapt	_	v	01	A1	make (more) suitable, becoming or making more accustomed or suitable, cause to fit	thing adapted	PPT	PATIENT
adapt	_	v	01	A2	make (more) suitable, becoming or making more accustomed or suitable, cause to fit	adapted to	GOL	GOAL
adapt	_	v	01	A3	make (more) suitable, becoming or making more accustomed or suitable, cause to fit	adapted from	DIR	_
adat	_	v	01	A0	advance diet as tolerated	doctor; advancer of diet	PAG	_
add	_	v	01	A0	say	speaker	PAG	AGENT
add	_	v	02	A0	mathematics, mixing, add something to something else, increase	adder	PAG	AGENT
add	_	v	01	A1	say	utterance	PPT	TOPIC
add	_	v	02	A1	mathematics, mixing, add something to something else, increase	thing being added	PPT	PATIENT
add	_	v	03	A1	achieve or gain	Logical subject, patient, thing rising/gaining/being added to	PPT	_
add	_	v	02	A2	mathematics, mixing, add something to something else, increase	thing being added to	PPT	CO-PATIENT
add	_	v	03	A2	achieve or gain	EXT, amount risen	EXT	_
add	_	v	02	A3	mathematics, mixing, add something to something else, increase	resulting sum	PRD	_
add	_	v	03	A4	achieve or gain	end point	PRD	_
add	_	v	03	AM	achieve or gain	medium	LOC	_
add	on	v	05	A0	add to existing mass	Agent adding on	PAG	_
add	on	v	05	A1	add to existing mass	Thing added	PPT	_
add	on	v	05	A2	add to existing mass	Added to what?	PPT	_
add	up	v	04	A0	result in	agent adding items up	PAG	_
add	up	v	04	A1	result in	things added	PPT	_
add	up	v	04	A2	result in	result	PRD	_
addend	_	v	01	A0	add an addendum to	Causer of addition	PAG	_
addend	_	v	01	A1	add an addendum to	thing changed	PPT	_
addict	_	v	01	A0	cause a dependency, as to a drug	outside causer of addiction	PAG	AGENT
addict	_	v	01	A1	cause a dependency, as to a drug	addicted entity	PPT	PATIENT
addict	_	v	01	A2	cause a dependency, as to a drug	drug etc.	VSP	STIMULUS
addictive	_	j	02	A0	causing addiction	addictive substance	PAG	_
addictive	_	j	02	A1	causing addiction	addictive to whom? addicted entity	PPT	_
addle	_	v	01	A0	(cause to) be confused	agentive cause of confusion	PAG	_
addle	_	v	01	A1	(cause to) be confused	entity experiencing confusion	PPT	_
addle	_	v	01	A2	(cause to) be confused	confused about or confused with what?	MNR	_
address	_	v	01	A0	put an address on, or speak to	addresser	PAG	AGENT
address	_	v	02	A0	deal with	agent	PAG	_
address	_	n	03	A0	answer, pay attention to	talker	PAG	_
address	_	v	01	A1	put an address on, or speak to	item being addressed (letter, speech, etc)	GOL	DESTINATION
address	_	v	02	A1	deal with	dealing with what	PPT	_
address	_	n	03	A1	answer, pay attention to	subject	PPT	_
address	_	v	01	A2	put an address on, or speak to	hearer/recipient	PPT	_
address	_	v	02	A2	deal with	answer, dealing how	PRD	_
address	_	n	03	A2	answer, pay attention to	hearer	GOL	_
address	_	v	01	A3	put an address on, or speak to	address as	PRD	_
adept	_	j	01	A1	highly skilled	skilled entity	PAG	_
adept	_	j	01	A2	highly skilled	skill	PPT	_
adequate	_	j	01	A1	enough, sufficing	entity that is enough	PPT	_
adequate	_	j	01	A2	enough, sufficing	enough for/to what	PRD	_
adhere	_	v	01	A0	stick (to)	agent/causer of adhesion	PAG	_
adhere	_	v	02	A0	follow (policy, etc)	follower	PAG	_
adhere	_	v	01	A1	stick (to)	theme of adhesion	PPT	THEME
adhere	_	v	02	A1	follow (policy, etc)	policy, etc.	PPT	_
adhere	_	v	01	A2	stick (to)	thing stuck to	PPT	CO-THEME
adhese	_	v	01	A0	stick to	agent; causer of adhesion	PAG	_
adhese	_	v	01	A1	stick to	theme of adhesion; thing stuck	PPT	_
adhese	_	v	01	A2	stick to	stuck to	LOC	_
adipose	_	j	01	A1	relating to fat tissue	adipose entity	PPT	_
adjacent	_	j	01	A1	neighbor, be side by side	first neighboring enity	PAG	_
adjacent	_	j	01	A2	neighbor, be side by side	second neighboring entity, neighbors what/whom	PPT	_
adjoin	_	v	01	A1	be immediately next to	(first) thing(s)	PPT	THEME
adjoin	_	v	01	A2	be immediately next to	second thing, if separate	PPT	CO-THEME
adjourn	_	v	01	A0	(bring to a) close	closer, adjourner	PAG	_
adjourn	_	v	02	A0	go from one location to another	entity in motion	PAG	_
adjourn	_	v	01	A1	(bring to a) close	thing closed	PPT	_
adjourn	_	v	02	A1	go from one location to another	destination	GOL	_
adjudicate	_	v	01	A0	to settle conflicts	adjudicator	PAG	_
adjudicate	_	v	01	A1	to settle conflicts	decision or conflict	PPT	_
adjunct	_	n	01	A1	being joined in a subordinate manner, acting as a subordinate associate	subordinate entity, adjunct	PPT	_
adjunct	_	n	01	A2	being joined in a subordinate manner, acting as a subordinate associate	superordinate entity	PPT	_
adjunct	_	n	01	A3	being joined in a subordinate manner, acting as a subordinate associate	domain, role of arg1	VSP	_
adjust	_	n	01	A0	change (slightly)	causer of transformation	PAG	AGENT
adjust	_	n	01	A1	change (slightly)	thing changing	PPT	PATIENT
adjust	_	n	01	A2	change (slightly)	adjusted to; goal state; outside situation that arg1 is wanted to match	GOL	GOAL
adjust	_	n	01	A3	change (slightly)	start state	DIR	_
adjust	_	n	01	A4	change (slightly)	purpose, reason for adjustment	PRP	_
administer	_	n	01	A0	to manage, distribute, or apply	administrator, agent	PAG	AGENT
administer	_	n	01	A1	to manage, distribute, or apply	entity administered	PPT	THEME
administer	_	n	01	A2	to manage, distribute, or apply	administered to/upon	GOL	RECIPIENT
administrate	_	v	01	A0	manage	agent, manager	PAG	_
administrate	_	v	01	A1	manage	theme, process/thing being managed	PPT	_
admirable	_	j	02	A0	worthy of admiring	admirer	PAG	_
admirable	_	j	02	A1	worthy of admiring	target of admiration	PPT	_
admire	_	v	01	A0	admire	admirer	PPT	EXPERIENCER
admire	_	v	01	A1	admire	admired	PAG	STIMULUS
admit	_	v	01	A0	acknowledge truth	admitter	PAG	AGENT
admit	_	v	02	A0	allow to enter	allower (ticket)	PAG	AGENT
admit	_	v	01	A1	acknowledge truth	truth	PPT	THEME
admit	_	v	02	A1	allow to enter	enterer	PPT	THEME
admit	_	v	01	A2	acknowledge truth	hearer	GOL	RECIPIENT
admit	_	v	02	A2	allow to enter	place entered	LOC	LOCATION
admix	_	v	01	A0	to mingle or add to something else	agent, mixer	PAG	AGENT
admix	_	v	01	A1	to mingle or add to something else	ingredient one	PPT	PATIENT
admix	_	v	01	A2	to mingle or add to something else	ingredient two (if separate)	PPT	CO-PATIENT
admix	_	v	01	A3	to mingle or add to something else	end product	PRD	_
admonish	_	n	01	A0	persuade warningly	persuader	PAG	AGENT
admonish	_	v	02	A0	chastise	chastiser	PAG	_
admonish	_	n	01	A1	persuade warningly	persuaded agent	GOL	RECIPIENT
admonish	_	v	02	A1	chastise	chastised	PPT	_
admonish	_	n	01	A2	persuade warningly	persuaded action	PPT	TOPIC
admonish	_	v	02	A2	chastise	wrongdoing	CAU	_
adopt	_	v	01	A0	take on as one's own	adopter	PAG	AGENT
adopt	_	v	01	A1	take on as one's own	thing adopted	PPT	THEME
adopt	_	v	01	A2	take on as one's own	secondary attibute	PRD	RESULT
adorable	_	j	02	A0	exceptionally cute	perceiver	PAG	_
adorable	_	j	02	A1	exceptionally cute	cutie pie	PPT	_
adore	_	v	01	A0	have fond feelings for	adorer	PPT	EXPERIENCER
adore	_	v	01	A1	have fond feelings for	thing adored	CAU	STIMULUS
adorn	_	v	01	A0	to decorate with or as if with ornaments	decorator, agent	PAG	AGENT
adorn	_	v	01	A1	to decorate with or as if with ornaments	entity adorned	GOL	DESTINATION
adorn	_	v	01	A2	to decorate with or as if with ornaments	ornaments	PPT	THEME
adrenalectomize	_	v	01	A0	surgically remove one or both adrenal glands	Agent, surgeon	PAG	_
adrenalectomize	_	v	01	A1	surgically remove one or both adrenal glands	Patient, person undergoing surgery	DIR	_
adsorb	_	v	01	A1	to accumulate on a surface	Adsorbed substance; thing accumulating	PPT	_
adsorb	_	v	01	A2	to accumulate on a surface	Surface on which substance is accumulating	LOC	_
adulterate	_	v	01	A0	dilute, weaken	agent	PAG	_
adulterate	_	v	01	A1	dilute, weaken	weakened entity	PPT	_
adulterate	_	v	01	AM	dilute, weaken	instrument, weakened with or by	MNR	_
advance	_	v	01	A0	move forward or upward	agent, causing advance	PAG	AGENT
advance	_	v	03	A0	pay out a portion of wages/credit before they are due	payer	PAG	_
advance	_	v	01	A1	move forward or upward	thing advancing	PPT	PATIENT
advance	_	v	03	A1	pay out a portion of wages/credit before they are due	wages paid ahead of time	PPT	_
advance	_	v	01	A2	move forward or upward	extent of advancement	EXT	EXTENT
advance	_	v	03	A2	pay out a portion of wages/credit before they are due	payee	GOL	_
advance	_	v	01	A3	move forward or upward	start point	DIR	_
advance	_	v	03	A3	pay out a portion of wages/credit before they are due	total wages, out of which arg1 is paid	VSP	_
advance	_	v	01	A4	move forward or upward	end point	GOL	_
advance	_	v	03	A4	pay out a portion of wages/credit before they are due	transaction, reason for advance	PRP	_
advance	_	v	01	A5	move forward or upward	attribute of arg1, where this is advancing rather than whole	PRD	ATTRIBUTE
advanced	_	j	02	A1	progressive, cutting edge	progressive entity	PPT	_
advanced	_	j	02	A2	progressive, cutting edge	domain	VSP	_
advantageous	_	j	01	A1	providing advantage	thing that provides advantage	PPT	_
advantageous	_	j	01	A2	providing advantage	advantageous for/to whom/what?	GOL	_
advect	_	v	01	A0	horizontal transfer of mass (usually fluid or atmospheric)	cause of movement	PAG	_
advect	_	v	01	A1	horizontal transfer of mass (usually fluid or atmospheric)	air, water, entity moved	PPT	_
